"","id","county","tot_pop","non_wa_percentage"
"362","0500000US12085","Martin County, Florida",159701,0.215997395132153
"363","0500000US12086","Miami-Dade County, Florida",2713295,0.866753154375031
"364","0500000US12087","Monroe County, Florida",76483,0.33661075010133
"365","0500000US12089","Nassau County, Florida",82925,0.129020198974977
"366","0500000US12091","Okaloosa County, Florida",203478,0.262087301821327
"367","0500000US12093","Okeechobee County, Florida",41275,0.36915808600848
"368","0500000US12095","Orange County, Florida",1355921,0.595674821763215
"369","0500000US12097","Osceola County, Florida",353623,0.679851140904296
"370","0500000US12099","Palm Beach County, Florida",1470344,0.451563715701904
"371","0500000US12101","Pasco County, Florida",525141,0.251720966369032
"372","0500000US12103","Pinellas County, Florida",968341,0.257840987833831
"373","0500000US12105","Polk County, Florida",685368,0.407171038040877
"374","0500000US12107","Putnam County, Florida",73384,0.285034884988553
"375","0500000US12109","St. Johns County, Florida",243693,0.171564222197601
"376","0500000US12111","St. Lucie County, Florida",313163,0.425276932460093
"377","0500000US12113","Santa Rosa County, Florida",174049,0.173238570747318
"378","0500000US12115","Sarasota County, Florida",419680,0.167093976362943
"379","0500000US12117","Seminole County, Florida",462801,0.395027236328357
"380","0500000US12119","Sumter County, Florida",124995,0.147269890795632
"381","0500000US12121","Suwannee County, Florida",44124,0.246147221466775
"382","0500000US12123","Taylor County, Florida",21781,0.272944309260365
"383","0500000US12125","Union County, Florida",15448,0.309360435007768
"384","0500000US12127","Volusia County, Florida",537868,0.281392460603717
"385","0500000US12129","Wakulla County, Florida",32050,0.2
"386","0500000US12131","Walton County, Florida",68021,0.157760103497449
"387","0500000US12133","Washington County, Florida",24546,0.224395013444146
"388","0500000US13001","Appling County, Georgia",18438,0.307788263369129
"389","0500000US13003","Atkinson County, Georgia",8182,0.43192373502811
"390","0500000US13005","Bacon County, Georgia",11205,0.265684962070504
"391","0500000US13007","Baker County, Georgia",3159,0.525166191832859
"392","0500000US13009","Baldwin County, Georgia",44963,0.478081978515668
"393","0500000US13011","Banks County, Georgia",18628,0.120571183165128
"394","0500000US13013","Barrow County, Georgia",78899,0.283374947717969
"395","0500000US13015","Bartow County, Georgia",105098,0.224228815010752
"396","0500000US13017","Ben Hill County, Georgia",17037,0.440864001878265
"397","0500000US13019","Berrien County, Georgia",19108,0.180395645802805
"398","0500000US13021","Bibb County, Georgia",152840,0.616389688563203
"399","0500000US13023","Bleckley County, Georgia",12764,0.310717643371984
"400","0500000US13025","Brantley County, Georgia",18832,0.0805012744265081
"401","0500000US13027","Brooks County, Georgia",15617,0.432029198949862
"402","0500000US13029","Bryan County, Georgia",36999,0.263980107570475
"403","0500000US13031","Bulloch County, Georgia",75991,0.36339829716677
"404","0500000US13033","Burke County, Georgia",22545,0.52667997338656
"405","0500000US13035","Butts County, Georgia",24067,0.336228030082686
