"","id","county","non_wa_percentage","tot_pop","median_HH_income","five_mg_percentage","ten_mg_percentage","score"
"195","0500000US19155","Pottawattamie County, Iowa",0.122741286289287,93416,60056,0.0128388017118402,0.00998573466476462,0.0198882375048206
"196","0500000US13051","Chatham County, Georgia",0.513831232350186,289309,57611,0.010290986515259,0.00248403122782115,0.0197278542080224
"197","0500000US12005","Bay County, Florida",0.237154642300364,184736,59450,0.0231023102310231,0,0.0196637758549198
"198","0500000US26075","Jackson County, Michigan",0.152217099827829,158563,55124,0.0158590308370044,0.0052863436123348,0.0194385532244695
"199","0500000US17119","Madison County, Illinois",0.149179456439372,265251,67440,0.0190677966101695,0.00677966101694915,0.0194161544547166
"200","0500000US17089","Kane County, Illinois",0.427976673580425,532272,84368,0.0141169403283941,0.00470564677613136,0.0189569808515003
"201","0500000US36071","Orange County, New York",0.35440464717004,379758,84458,0.0165579528349222,0.00464124435524335,0.0189258933627018
"202","0500000US37191","Wayne County, North Carolina",0.463375977372109,123034,44596,0.0119047619047619,0,0.0188816138697153
"203","0500000US35045","San Juan County, New Mexico",0.616820441705997,126917,44321,0.0101010101010101,0,0.0185986825203273
"204","0500000US36119","Westchester County, New York",0.462285330657561,969689,101908,0.0182170717409929,0.00428371736483744,0.0185685492423681
"205","0500000US18039","Elkhart County, Indiana",0.249581280546931,204194,54531,0.0194479297365119,0,0.0185132841324566
"206","0500000US33013","Merrimack County, New Hampshire",0.0753921110592004,149830,76218,0.0329127811300055,0.00822819528250137,0.0184802904127152
"207","0500000US33011","Hillsborough County, New Hampshire",0.154282146349019,413204,83626,0.0237453688110475,0.00673627484001347,0.0181641943361779
"208","0500000US09001","Fairfield County, Connecticut",0.377622110667863,943038,97053,0.0173521549500539,0.0050649533367725,0.0180807565963304
